band,metric,n_total,t_stat,p_group,rho_MoCA,p_corr
beta,frontal,100,-3.2390026845119158,0.0017482943524803594,0.23461227126199163,0.018797641828516724
alpha,posterior,100,-1.7930138184877058,0.07647234814209079,0.20754811734065018,0.038264810414775745
beta,delta,100,-1.7193016502176257,0.08932685181471824,0.174183664722984,0.08305778656386946
delta,posterior,100,-1.8429667428673384,0.06846144761836359,0.14962199220981032,0.13733571069577005
beta,posterior,100,-2.0728714199984375,0.04096377235806207,0.12886974606118803,0.2013090217799718
alpha,delta,100,0.75811086903171,0.4502147574107479,-0.11629929363837742,0.24920348368730635
delta,delta,100,1.6385873336514107,0.10454381710468541,-0.11097569196483219,0.2716791640865356
alpha,frontal,100,-0.6906233152083364,0.4915717283669977,0.0780995878585558,0.4399026722472178
theta,delta,100,1.1642535323443952,0.24721948457945742,-0.0703643885979006,0.4866415948573455
theta,frontal,100,0.7613735746669466,0.44840851062551723,-0.0689777199853124,0.49529090369342954
delta,frontal,100,-0.14853375713904396,0.8822519773203401,-0.022464031523929198,0.8244353162633004
theta,posterior,100,-0.46923900733199625,0.6399660614328985,-0.009507723487180984,0.9252013134013941
