band,metric,n_total,mean_impaired,std_impaired,mean_unimpaired,std_unimpaired,t_stat,p_group,rho_MoCA,p_corr
beta,frontal,100,0.10030478821017519,0.012443389685318145,0.11052722306949095,0.01818899971940795,-3.2390026845119158,0.0017482943524803594,0.23461227126199163,0.018797641828516724
alpha,posterior,100,0.10760550214196918,0.020721859217902205,0.11626609747615527,0.026753680017865284,-1.7930138184877058,0.07647234814209079,0.20754811734065018,0.038264810414775745
beta,delta,100,-0.0027457587167438536,0.009838251587127058,0.0014196051046354548,0.013785252611293658,-1.7193016502176257,0.08932685181471824,0.174183664722984,0.08305778656386946
delta,posterior,100,0.09929529489507545,0.013958542496423629,0.10463626484542332,0.014897962131810572,-1.8429667428673384,0.06846144761836359,0.14962199220981032,0.13733571069577005
beta,posterior,100,0.10305054692691906,0.013616254605518694,0.10910761796485553,0.015391398849397695,-2.0728714199984375,0.04096377235806207,0.12886974606118803,0.2013090217799718
alpha,delta,100,0.013949598500002,0.02707870036080143,0.009929324402283312,0.02591306850947085,0.75811086903171,0.4502147574107479,-0.11629929363837742,0.24920348368730635
delta,delta,100,0.0055248671469676405,0.014787450573002923,0.0007025692142613283,0.014599796245992615,1.6385873336514107,0.10454381710468541,-0.11097569196483219,0.2716791640865356
alpha,frontal,100,0.12155510064197117,0.03038767815646477,0.12619542187843857,0.03609654381982871,-0.6906233152083364,0.4915717283669977,0.0780995878585558,0.4399026722472178
theta,delta,100,0.008233228660574857,0.029891491761643574,0.0021136919254614484,0.022497631729579116,1.1642535323443952,0.24721948457945742,-0.0703643885979006,0.4866415948573455
theta,frontal,100,0.12069514982719225,0.031064631044659362,0.1167317683463277,0.02044108794066669,0.7613735746669466,0.44840851062551723,-0.0689777199853124,0.49529090369342954
delta,frontal,100,0.10482016204204309,0.015815583444437235,0.10533883405968465,0.01874267485008434,-0.14853375713904396,0.8822519773203401,-0.022464031523929198,0.8244353162633004
theta,posterior,100,0.11246192116661738,0.022522757775138222,0.11461807642086624,0.023291924088142218,-0.46923900733199625,0.6399660614328985,-0.009507723487180984,0.9252013134013941
